identifier,name,price,search_q,sku,url
,Frilixa Canedo 60 Cooler Fridge Counter Multi Deck,1319.41,canedo 60,canedo 60,http://www.belowtradeprices.co.uk/frilixa-canedo-60.aspx
,Tefcold TM30FD Mini Fridge and Refrigerator,201.84,tm30fd,tm30fd,http://www.belowtradeprices.co.uk/tefcold-tm30fd.aspx
,Tecfrigo MINIMAX 200 Q AMB Refrigerated Food Display,672.40,minimax 200 q amb,minimax 200 q amb,http://www.belowtradeprices.co.uk/tecfrigo-minimax-200-q-amb.aspx
,Pantheon PNPO4-4,1366.85,Pantheon PNPO4-4,pnpo4+4,http://www.belowtradeprices.co.uk/inomak-pnpo44.aspx
,Tefcold FS1380W Wine Cooler,597.87,Tefcold FS1380W Wine Cooler,fs1380w,http://www.belowtradeprices.co.uk/tefcold-fs1380w.aspx
,AHT CTW171L AHT Refrigeration,507.78,AHT CTW171L AHT Refrigeration,ctw171l,http://www.belowtradeprices.co.uk/aht-ctw171l.aspx
,PS900 Kingfisher Prep Table Labour Warranty Cover,811.44,ps900 kingfisher prep table labour warranty cover,ps900 kingfisher prep table labour warranty cover,http://www.belowtradeprices.co.uk/king-fisher-ps900-kingfisher-prep-table-labour-warranty-cover.aspx
,jectSystems PRWS6  6 Litre Water Softener,150.00,prws16,prws16,http://www.belowtradeprices.co.uk/project-systems-prws16.aspx
,Comenda Unload Section per metre -all models,2666.66,unload section per metre -all models,unload section per metre -all models,http://www.belowtradeprices.co.uk/comenda-unload-section-per-metre-all-models.aspx
,Plate Warmer 12 Plate Capacity- Chrome Plated- (To Be Ordered in 4-s),42.88,pw12c,pw12c,http://www.belowtradeprices.co.uk/hostess-pw12c.aspx
,Mareno NEN9-6C WORK TOPS,769.61,mareno nen9-6c work tops,mareno nen9-6c work tops,http://www.belowtradeprices.co.uk/mareno-mareno-nen9-6c-work-tops.aspx
,Halcyon Ice45 45kg Ice Machine,1005.48,Halcyon Ice45 45kg Ice Machine,ice45,http://www.belowtradeprices.co.uk/halcyon-ice45.aspx
,Clifton FLE-28-28 Unstirred Duobaths,1507.28,fle-28/28,fle-28/28,http://www.belowtradeprices.co.uk/clifton-fle-2828.aspx
,Holman QCS1-350 Compact Conveyor Toaster,1289.74,Holman QCS1-350 Compact Conveyor Toaster,qcs2-800ha,http://www.belowtradeprices.co.uk/middleby-qcs2-800ha.aspx
,Blue Seal G40ACSB Gas 20 Grid Combi Steamer,25195.86,g40acsb,g40acsb,http://www.belowtradeprices.co.uk/blue-seal-g40acsb.aspx
,Pantheon SSK Soup Kettle,111.00,Pantheon SSK Soup Kettle,pantheon ssk soup kettle,http://www.belowtradeprices.co.uk/pantheon-pantheon-ssk-soup-kettle.aspx
