CODE,CODE1
000590,GL51174
000604,GL51176
000655,GL51195
000671,GL51242
000884,JTCS75
000906,JTCS70
001030,JT50799
001049,JT50999
001065,JT74099
001081,JT71190
00109X,JT72090
001146,JT58710
001154,JT59721
001189,JT60199
001375,JT37202
001383,JT37203
001391,JT37204
001413,JT37206
00143X,JT37208
001448,JT37209
001456,JT22202
001480,JT22203
001499,JT22204
001502,JT22205
001510,JT22206
001529,JT22207
001537,JT22208
001545,JT22209
001634,JT27202
001642,JT27203
001650,JT27204
001669,JT27205
001677,JT27206
001685,JT27207
001693,JT27208
001731,JT27505
00174X,JT27506
001766,JT27508
001774,JT27509
001863,JT19099
001871,JT43202
00188X,JT43203
001898,JT43204
001901,JT43205
00191X,JT43206
001928,JT43207
001936,JT43208
001944,JT43209
00215X,TX801296
002924,CO20171
003034,SAM33327
003092,SAM33322
003171,PEXZL31W
003343,SAM36286
003377,SAM36290
003392,PI27974
003406,PI27982
003414,PI13290
003430,PI13292
003449,PIG105R
003465,PI15892
003546,PIV5GN
003806,SAM36287
003911,SAM36147
004021,SAM36288
004746,BY00387
004754,BY00406
004770,BY00427
004789,BY00436
004931,HPC5019A
005067,GHT253
005172,GH3152
005199,GH4510
00544X,GH4880
005520,GH06044
005539,GH06078
00558X,GH06061
005598,GH06079
005601,GH01951
00561X,GH01952
005628,CH2026
005644,CH2242
005660,CHCVDR1
005857,BY00381
005881,BY00393
005911,BY00415
005946,BY00423
005970,BY00431
005989,GH06010
006003,BY00442
006110,SAM36291
006208,EA30115
006216,EA30145
006225,SAM36289
006233,SAM36295
006241,SAM36297
006411,SAM36296
006445,EA28143
00647X,EA28144
006526,EA28148
006623,EA28113
00664X,EA26115
006658,EA26145
006682,EA26615
006690,EA26645
006755,EA32413
006852,EA28118
007327,BX00145
007351,BX00147
00736X,BX00143
007378,BX00160
007386,BX02242
007440,BX05110
007459,BX05111
007467,BX05112
007475,BX05113
007483,BX00164
007505,BX00166
007513,BX05669
007979,EP48B40
008705,RX12153
008772,RX12265
008788,EP48C40
009199,EP44140BA
009270,HPC4871A
009289,HPC4846A
009297,HPC4847A
009300,HPC4848A
009343,HPC4820A
009351,HPC4821A
009378,HPC4822A
009386,HPC4823A
009476,BX401301
009611,BX401310
009644,EP55640BA
009719,RX13045BU
009743,RX13045R
009816,RX13035BU
009859,RX13035R
010007,EA28243
010015,EA28248
010031,EA28244
010221,EP09402
010325,EA30443
010333,EA30444
01035X,EA30448
010376,EA30413
010572,HPQ6592A
011045,PA03063
01107X,RF216081
011118,RF215981
011150,RF211281
011193,RF215881
011585,HPQ6593A
011632,HPQ6594A
011690,HPQ5942A
012024,SK11151
012032,SK11154
012075,SK02692
012083,SK02701
012113,SK03115
01213X,SK02597
012148,SK02651
012156,SK02603
012164,SK02921
012172,SK02633
012180,SK10088
012199,SK11355
012253,SK03060
012261,SK03080
012271,HPQ5942X
012288,SK03100
012318,PA03403
012334,SK03894
012350,SK10165
012459,HPQ5949A
012475,HPQ5949X
012520,SK02813
012539,PA04227
012555,SK11756
012687,PA03164
012695,SK12565
012814,GL51196
013062,MIUB155BK
013070,MIUB155BU
013089,MI150BK
013097,MI150BU
013100,MI157BK
013143,ST33170
013151,ST33165
013178,MI157BU
013208,PA03062
013259,ST33192
