sku,url,price,identifier,name
03-6b-2749,http://www.shoemetro.com/p-275838-7-for-all-mankind-alice-womens.aspx,116.99,,7 For All Mankind Alice - Womens
67926,http://www.shoemetro.com/p-306157-7-for-all-mankind-blaire-womens.aspx,66.99,,7 For All Mankind Blaire - Womens
62794,http://www.shoemetro.com/p-292861-7-for-all-mankind-caprice-womens.aspx,39.99,,7 For All Mankind Caprice - Womens
47-5a-1252,http://www.shoemetro.com/p-276085-7-for-all-mankind-honey-womens.aspx,79.99,,7 For All Mankind Honey - Womens
45-5b-1289,http://www.shoemetro.com/p-279227-7-for-all-mankind-neely-womens.aspx,48.99,,7 For All Mankind Neely - Womens
45-5b-1289,http://www.shoemetro.com/p-276287-7-for-all-mankind-neely-womens.aspx,86.99,,7 For All Mankind Neely - Womens
60289,http://www.shoemetro.com/p-290325-academie-studio-miami-youth-kids-girls.aspx,45.99,,Academie Studio Miami - Youth Kids Girls
60289,http://www.shoemetro.com/p-290324-academie-studio-miami-youth-kids-girls.aspx,45.99,,Academie Studio Miami - Youth Kids Girls Size - 4
103-3b-1067,http://www.shoemetro.com/p-285290-acorn-chinchilla-collar-womens.aspx,30.99,,Acorn Chinchilla Collar - Womens
114-1a-1132,http://www.shoemetro.com/p-261511-acorn-cleo-womens.aspx,38.99,,Acorn Cleo - Womens
114-1a-1126,http://www.shoemetro.com/p-261513-acorn-lyla-womens.aspx,33.99,,Acorn Lyla - Womens Size - 6
56-2c-1204,http://www.shoemetro.com/p-181085-acorn-oh-ewe-ii-womens.aspx,44.99,,Acorn Oh Ewe II - Womens Size - 6
111-5b-1152,http://www.shoemetro.com/p-261474-acorn-ragg-time-moc-womens.aspx,45.99,,Acorn Ragg Time Moc - Womens
133-8c-1029,http://www.shoemetro.com/p-268225-adidas-a-cub-ss-structure-basketball-shoes-white-womens.aspx,49.99,,Adidas A Cub SS Structure Basketball Shoes White Womens
02-3b-2411,http://www.shoemetro.com/p-261062-acorn-yukon-mens.aspx,64.99,,Acorn Yukon - Mens Size - 7
130-3a-1158,http://www.shoemetro.com/p-271997-acorn-ultra-wide-womens.aspx,33.99,,Acorn Ultra Wide - Womens
44-2b-1535,http://www.shoemetro.com/p-264474-adidas-acorch3-mid-trx-football-cleats-shoes-white-mens.aspx,39.99,,Adidas Acorch3 Mid Trx Football Cleats Shoes White Mens
130-11a-1074,http://www.shoemetro.com/p-268307-adidas-a3-ss-structure-nba-basketball-shoes-black-mens.aspx,49.99,,Adidas a3 SS Structure NBA Basketball Shoes Black Mens
28-1a-2000,http://www.shoemetro.com/p-263171-adidas-adistar-4-st-mens.aspx,24.99,,Adidas Adistar 4 St - Mens Size - 14
54-2c-1193,http://www.shoemetro.com/p-269349-adidas-aditennis-gruen-mens.aspx,36.99,,Adidas Aditennis Gruen - Mens
23584,http://www.shoemetro.com/p-284156-adidas-adizero-sonic-m-mens.aspx,62.99,,Adidas Adizero Sonic M - Mens
