category,phone_type,description_headers,tags,phone,company_name,address,short_description,description_paragraphs,gen_description,company_site_url
Vikarbureauer,,,,20 87 27 72,DanProff,"Havebo 6, 2500 Valby",Not specified,,,Company site unknown
Vikarbureauer,Fax,,,"30 27 21 83,54 49 21 83",Optimal Sekretærerne,"Birkebakken 9, 4850 Stubbekøbing",Not specified,,,http://www.altbogfort.dk
Vikarbureauer,,,,,Jobleasing ApS,"Askevang 3, Gørslev, 4100 Ringsted",Not specified,,,Company site unknown
Vikarbureauer,Fax,,,"51 18 06 86,33 33 03 63",Faxe Vikar ApS,"Hovedgaden 46, 4654 Faxe Ladeplads",Not specified,,,http://www.faxevikar.dk
Vikarbureauer,Fax,,Vikarbureauer###BYGGARANTI,"97 42 07 50,97 42 07 51",JKS A/S,"Enghaven 2, 7500 Holstebro",Not specified,,,http://www.jks.dk
Vikarbureauer,Mobil,,,"24 87 91 28,24 87 91 28",Birgitte Kramp Consult,"Slettevang 19, 2970 Hørsholm",Not specified,,,Company site unknown
Vikarbureauer,Mobil,,,"70 22 22 17,29 66 46 25,70 22 22 84",CAD-Kompagniet A/S,"Herstedvang 7 C, 2. sal., 2620 Albertslund",Not specified,,,http://www.cadkompagniet.dk
Vikarbureauer,,,,33 11 68 83,Cb Rekruttering ApS,"Hyskenstræde 9, 1207 København K",Not specified,,,http://www.danvikar.dk
Vikarbureauer,Fax,,,"70 26 07 00,54 82 07 10",Westrup Partner ApS,"Voldgade 4, 4800 Nykøbing F",Not specified,,,http://www.westruppartner.dk
Vikarbureauer,,,,20 22 30 61,MS Service v/ Marianne Risager S. Christiansen,"Lejrvej 35, Kirke Værløse, 3500 Værløse",Not specified,,,Company site unknown
Vikarbureauer,,,,22 98 77 99,StudieLink,"Frimestervej 28, 2400 København NV",Not specified,,,Company site unknown
Vikarbureauer,Fax,,BYGGARANTI,"70 27 76 60,70 27 76 61","Teamvikaren.Dk, Byg og Anlæg ApS","Paludan-Müllers Vej 24, 1. sal., 8200 Aarhus N",Not specified,,,http://www.teamvikaren.dk
Vikarbureauer,Fax,,,"20 20 47 37,57 67 18 12",Care One,"Hagelbjergvej 32, 4100 Ringsted",Not specified,,,http://www.careone.dk
Vikarbureauer,,,,97 56 55 53,Lyn Service ApS,"Søbylundvej 49, 7400 Herning",Not specified,,,Company site unknown
Vikarbureauer,Fax,,,"70 22 14 41,70 22 14 42",Flexhouse ApS,"Taastrup Hovedgade 23, 1. sal., 2630 Taastrup",Not specified,,,http://www.flexhouse.dk
Vikarbureauer,,,,52 69 22 10,Jacek Krawiec,"Nørrebrogade 51, st. sal., 2200 København N",Not specified,,,Company site unknown
Vikarbureauer,,,,22 70 30 78,Deluxe Group ApS,"H. C. Ørsteds Vej 50 C, 1879 Frederiksberg C",Not specified,,,Company site unknown
Vikarbureauer,,,,,Tucjob ApS,"Hejrevej 43, st. sal., 2400 København NV",Not specified,,,Company site unknown
Vikarbureauer,Tlf.,,,"75 56 49 79,20 49 79 94",T.K. FREELANCE v/ Thomas Kristoffersen,"Dalagervej 8, Erritsø, 7000 Fredericia",Not specified,,,Company site unknown
Vikarbureauer,Mobil,,,"47 31 22 00,28 56 55 22,47 16 22 33",Job-Connection,"Bakkekammen 155, 3600 Frederikssund",Not specified,,,http://www.job-connection.dk
Vikarbureauer,Fax,,,"76 28 00 82,87 80 07 60",Vikarbureauet Medarbejderne ApS,"Vitus Berings Plads 4, 8700 Horsens",Not specified,,,http://www.medarbejderne.dk
Vikarbureauer,,,,21 68 20 12,+Vikar ApS,"Maglebyvej 19, Magleby, 4672 Klippinge",Not specified,,,Company site unknown
Vikarbureauer,,,,41 11 69 38,Vikarbureauet Danmark v/ Mads-Robert Rostig,"Gl. Vordingborgvej 4, 4772 Langebæk",Not specified,,,Company site unknown
Vikarbureauer,Tlf.,,,"29 86 57 85,75 22 31 32,22 86 74 45,27 51 49 31",Pihl Vikar/Det Lille Apotek v/ Pia Pihl,"Storegade 20, 6800 Varde",Not specified,,,Company site unknown
Vikarbureauer,,,,25 59 69 28,P &amp; T Consult,"Kretavej 11, 2. th., 2300 København S",Not specified,,,Company site unknown
Vikarbureauer,Tlf.,,,"28 12 94 00,97 19 84 00,28 12 94 00,30 13 18 08",Sørens Vikarbureau v/ Søren Ingemann Christensen,"Mylius Erichsens Vej 4, 7400 Herning",Not specified,,,Company site unknown
Vikarbureauer,,,,28 92 89 08,Privatsekretæren,"Veksøvej 45, 2700 Brønshøj",Not specified,,,http://www.privatsekretaren.dk
Vikarbureauer,,,,,Jobselect.Dk ApS,"Skovdiget 4 B, 2880 Bagsværd",Not specified,,,Company site unknown
Vikarbureauer,,,,60 76 11 87,Vikar Danmark 2012 ApS,"Stærevej 61, 2. tv., 2400 København NV",Not specified,,,Company site unknown
Vikarbureauer,,,,61 27 74 11,Aalborg,"Hobrovej 317 A, 9200 Aalborg SV",Not specified,,,Company site unknown
Vikarbureauer,Tlf.,,,"55 77 34 50,55 72 12 06,55 72 12 06",Actina Office Management ApS,"Messebuen 3, 4700 Næstved",Not specified,,,Company site unknown
Vikarbureauer,,,,33 37 71 14,Alexander Mann Solutions ApS,"Larsbjørnsstræde 3, 1454 København K",Not specified,,,Company site unknown
Vikarbureauer,,,,70 22 04 16,Activcare Privat A/S,"Valby Langgade 7 B, 2500 Valby",Not specified,,,Company site unknown
Vikarbureauer,Fax,,Vikarbureauer###Personalerekruttering###BYGGARANTI,"86 44 07 50,86 44 07 51",JKS A/S,"Kirkegade 1, 3. th., 8900 Randers C",Not specified,,,http://www.jks.dk
Vikarbureauer,,,,28 44 68 53,Total Klar,"Bystrædet 60, 2610 Rødovre",Not specified,,,Company site unknown
Vikarbureauer,,,,,EC Compagny ApS,"Ørnsøvej 26, 8240 Risskov",Not specified,,,Company site unknown
Vikarbureauer,,,,27 29 43 47,Caremakers ApS,"Strandvejen 341, 1. sal., 2930 Klampenborg",Not specified,,,http://www.caremakers.dk
Vikarbureauer,,,,,HR-Kompagniet,"Delfinvej 27, 3450 Allerød",Not specified,,,Company site unknown
Vikarbureauer,,,,62 27 15 45,Fjernskriver Fyn,"Svendborgvej 4, 5772 Kværndrup",Not specified,,,Company site unknown
Vikarbureauer,Mobil,,,"60 10 30 70,26 80 81 13,28 60 87 12,28 71 43 12",Studentconsulting Danmark ApS,"Nørre Voldgade 24, st. sal., 1358 København K",Not specified,,,Company site unknown
Vikarbureauer,,,,63 12 22 72,"Nord-Vik, Nordiske Lægevikarer ApS","Dyrupgårdvænget 7, Dyrup, 5250 Odense SV",Not specified,,,http://www.nord-vik.dk
Vikarbureauer,,,,,"TeamVikaren.dk, Grindsted ApS, Afdeling Fyn","Blangstedgårdsvej 1, 5220 Odense SØ",Not specified,,,Company site unknown
Vikarbureauer,,,,53 14 41 00,Olav Mogens Thorsteinsson,"Carstensens Alle 19, 6705 Esbjerg Ø",Not specified,,,Company site unknown
Vikarbureauer,,,Vikarbureauer,70 20 03 83,Hartmanns A/S,"Nørregade 19, 6100 Haderslev",Not specified,,,http://www.hartmanns.dk
Vikarbureauer,,,,70 20 80 99,Service2Build,"Klostergade 76, 8000 Aarhus C",Not specified,,,http://www.service2build.dk
Vikarbureauer,,,,51 96 26 11,AP - Service,"Holstebrovej 16, Rindum, 6950 Ringkøbing",Not specified,,,Company site unknown
Vikarbureauer,,,,61 37 61 59,Mand-Power ApS,"Hornbækvej 340, 3080 Tikøb",Not specified,,,Company site unknown
Vikarbureauer,,,,70 22 65 55,Nexus Teknik ApS,"Kompagnistræde 13, 1208 København K",Not specified,,,http://www.nexus-interim.dk
Vikarbureauer,,,,20 25 48 97,Viktech ApS,"Ved Stationen 29, 2770 Kastrup",Not specified,,,Company site unknown
Vikarbureauer,,,,,Jobcentret,"Nørregade 41, 6100 Haderslev",Not specified,,,Company site unknown
Vikarbureauer,,,,,Arbejdsmarkedsteam,"Engvej 5, 7800 Skive",Not specified,,,Company site unknown
Vikarbureauer,Mobil,,,"59 59 92 20,23 41 90 70,23 84 42 40,40 73 92 20",Sundheds Service A/S,"Voldbjerg 23, Ugerløse, 4400 Kalundborg",Not specified,,,http://www.sundhedsservice.dk
Vikarbureauer,Mobil,,,"22 91 04 17,22 91 04 17,40 47 74 51",Cigno v/ Jens Møller,"Bispensgade 32, 2. sal., 9000 Aalborg",Not specified,,,Company site unknown
Vikarbureauer,,,,42 24 62 15,TN Crew Denmark,"Sellerupvej 32, Sellerup, 7080 Børkop",Not specified,,,Company site unknown
Vikarbureauer,Website,,,"24 40 17 80,
									,
								",Vikar Service,"Teknikvej 6 A, 4532 Gislinge",Not specified,,,http://www.vikanpolering.dk
Vikarbureauer,,,,70 15 00 10,Markman rekruttering &amp; genplacering A/S,"Toftevej 53, 8362 Hørning",Not specified,,,Company site unknown
Vikarbureauer,,,,51 97 74 81,Hvid Consult,"Fyrrelunden 29, 2635 Ishøj",Not specified,,,Company site unknown
Vikarbureauer,Fax,,,"97 22 30 64,97 22 30 65",Job-Banken.nu,"Nygade 4, 7400 Herning",Not specified,,,http://www.job-banken.nu
Vikarbureauer,Tlf.,,,"28 30 01 00,70 30 00 80,23 95 58 82,27 11 16 06",Strepa ApS,"Havnegade 39, 1058 København K",Not specified,,,http://www.strepa.com
Vikarbureauer,Mobil,,,"63 44 00 82,20 11 18 12,76 82 00 83",Medarbejderne ApS,"Østergade 35, 5500 Middelfart",Not specified,,,http://www.medarbejderne.dk
Vikarbureauer,,,,,Fi Entreprise ApS,"Odensevej 165, Skallebølle, 5492 Vissenbjerg",Not specified,,,Company site unknown
Vikarbureauer,,,,31 17 68 90,DK Kyndesen,"Gernersgade 24, 1319 København K",Not specified,,,Company site unknown
