category,phone_type,description_headers,tags,phone,company_name,address,short_description,description_paragraphs,gen_description,company_site_url
[u'Vikarbureauer'],[u'Tlf.'],,,"[u'70 27 76 60', u'70 11 01 15', u'70 20 55 05', u'24 24 09 52']","Teamvikaren.dk, Århus ApS","[u'Paludan-M\xfcllers Vej 24, 1. sal., 8200\xa0Aarhus N']",Not specified,,,http://www.teamvikaren.dk
[u'Vikarbureauer'],[],,,[u'25 65 00 70'],K.J. Service,"[u'Holms\xf8vej 184, Holms\xf8 K\xe6r, 9690\xa0Fjerritslev']",Not specified,,,Company site unknown
[u'Vikarbureauer'],[u'Mobil'],,,"[u'44 84 18 10', u'20 25 33 25']",Bvs Gruppen ApS,"[u'Marielundvej 46 C, st. sal., 2730\xa0Herlev']",Not specified,,,http://www.bvsgruppen.dk
[u'Vikarbureauer'],[],,,[u'44 94 93 44'],HBE Consult v/ Henriette Bekker,"[u'Bakketoften 24, 2760\xa0M\xe5l\xf8v']",Not specified,,,Company site unknown
[u'Vikarbureauer'],[u'Mobil'],,,"[u'75 33 66 88', u'23 26 77 07']",Jobvikar ApS,"[u'Borgergade 22, st. tv., 7200\xa0Grindsted']",Not specified,,,http://www.jobvikar.dk
[u'Vikarbureauer'],[u'Mobil'],,,"[u'39 61 70 03', u'28 56 17 96', u'28 56 18 07', u'28 56 19 43']",PROMEDICON v/ Bente Ohlsen,"[u'Strandvejen 112, 2. th., 2900\xa0Hellerup']",Not specified,,,Company site unknown
[u'Vikarbureauer'],[u'\nE-mail                                '],,,"[u'41 62 52 02', u'\n\n\n    ', u'\n                            ']",Bagervikaren,"[u'Norgesvej 12, 3310\xa0\xd8lsted']",Not specified,,,Company site unknown
[u'Vikarbureauer'],[u'Tlf.'],,,"[u'35 27 17 00', u'35 38 00 30', u'22 57 07 37', u'22 57 07 51']",Proffice A/S,"[u'Sj\xe6leboderne 2, 3. sal., 1122\xa0K\xf8benhavn K']",Not specified,,,http://www.proffice.dk
[u'Vikarbureauer'],[u'Fax'],,,"[u'44 36 66 77', u'70 27 40 40']",8837b ApS,"[u'Nordholmen 2, 2650\xa0Hvidovre']",Not specified,,,Company site unknown
[u'Vikarbureauer'],[],,,[u'28 29 73 83'],K.A. Service,"[u'Vesterf\xe6lledvej 61, 1750\xa0K\xf8benhavn V']",Not specified,,,Company site unknown
