phone,fax,products_sold,stall_location,trading_name
Phone:9763 1122,Fax:9325 6531,Cucumbers;Tomatoes,Stall Location:    ,AUSSIE ROMA FRESH PTY LTD
Phone:9746 8745,Fax:9746 3265,Apples;Artichoke;Artichoke - Cynara (Jan);Asparagus;Berries;Borlotti Bean;Capsicum;Cherries;Cucumbers;Eggplant;Honeydew;Kiwifruit;Lettuce;Mandarins;Mangoes;Melons;Oranges;Pears;Pomegranate;Proasparagus (All Year);Rockmelon;Stone Fruits;Zucchini,Stall Location: C219-C221  SYDNEY MARKETS NSW,AUSSIE FRESH PRODUCE PTY LTD
Phone:9764 4003,Fax:9325 6835,Asian Produce;Exotic Produce;Tropical Fruit,Stall Location: C269/271  SYDNEY MARKETS NSW,ASEAN PRODUCE PTY LTD
Phone:9746 7204,Fax:9764 3013,Bananas,Stall Location: E19/E20  SYDNEY MARKETS NSW,ARTHUR YEE PTY LTD
Phone:9746 7857,Fax:9764 4415,Bananas,Stall Location:  P O BOX 395 SYDNEY MARKETS NSW,ARCELLA FAMILY INVESTMENT PTY LTD
Phone:9746 8613,Fax:9746 1397,Chestnuts;Citrus Fruits;Persimmons;Stone Fruits,Stall Location: C253  C254-255  SYDNEY MARKETS NSW,APOLLO FRUIT SUPPLY
Phone:9764 3833,Fax:9746 0482,All types of Fruit;All types of Vegetables,Stall Location: G001  SYDNEY MARKETS NSW,ANTICO INTERNATIONAL PTY LTD
Phone:9746 0424,Fax:9746 0124,All types of Fruit;All types of Vegetables;Capsicum;Grapes,Stall Location:    ,ALVARO BROS PTY LTD
Phone:9746 8485,Fax:9746 5499,Avocados;Custard Apples;Lemons;Limes;Mangoes;Tropical Fruit,Stall Location: A064-065  SYDNEY MARKETS NSW,ALLCROPS PTY LTD
Phone:9746 5145,Fax:9746 1978,Apples;Cherries;Kiwifruit;Nashi;Nectarines;Peaches;Pears;Stone Fruits,Stall Location: A080-81  SYDNEY MARKETS NSW,ALL SEASONS PRODUCE PTY LTD
