Retailer,SKU,Date Checked,Price,Notes,Name of Product,Link
amazon.com,7126,12/1/2011, $249.99 ,, DIY Kennel 7'w x 12'd x 6'h  ,http://www.amazon.com/PetSafe-7-By-12-By-6-Foot-DIY-Box-Kennel/dp/B0009KKTIO/ref=sr_1_1?ie=UTF8&qid=1322678526&sr=8-1
amazon.com,900669,12/1/2011, $49.47 , fulfilled by Amazon , The SunBlock Top™ 7.5' x 7.5' ,http://www.amazon.com/PetSafe-SunBlock-Kennels-5-Foot---10-Foot/dp/B0028RXCC6/ref=sr_1_1?ie=UTF8&qid=1322858384&sr=8-1
amazon.com,900841,12/1/2011, $79.99 ,, The SunBlock Top™ 7'x12' ,http://www.amazon.com/PetSafe-SunBlock-Kennels-5-Foot---10-Foot/dp/B0028RXCC6/ref=sr_1_1?ie=UTF8&qid=1322858384&sr=8-1
amazon.com,900901,12/1/2011, $73.45 ,, The SunBlock Top™ - 10' x 10' ,http://www.amazon.com/PetSafe-SunBlock-Kennels-5-Foot---10-Foot/dp/B0028RXCC6/ref=sr_1_1?ie=UTF8&qid=1322858384&sr=8-1
amazon.com,900904,12/1/2011, $62.89 ,, The SunBlock Top™ - 6'x8' ,http://www.amazon.com/PetSafe-SunBlock-Kennels-5-Foot---10-Foot/dp/B0028RXCC6/ref=sr_1_1?ie=UTF8&qid=1322858384&sr=8-1
amazon.com,9001010,12/1/2011, $99.99 ,, E-Z Roof™ - 10' x 10' ,http://www.amazon.com/PetSafe-7-5---13-Foot-Roof-Kennels/dp/B000BJQYIM/ref=sr_1_2?ie=UTF8&qid=1323111869&sr=8-2
amazon.com,4-0110-11,11/15/2011, $16.34 ,, Classic Replacement Flap- Small ,http://www.amazon.com/PetSafe-1-Piece-Classic-Replacement-4-0113-11/dp/B0002IJQYQ/ref=sr_1_1?s=pet-supplies&ie=UTF8&qid=1322058435&sr=1-1
amazon.com,4-0111-11,11/1/2011, $23.88 ,, Classic Replacement Flap- Medium ,http://www.amazon.com/PetSafe-1-Piece-Classic-Replacement-4-0113-11/dp/B0002IJQYQ/ref=sr_1_1?s=pet-supplies&ie=UTF8&qid=1320768334&sr=1-1
amazon.com,4-0112-11,11/15/2011, $33.03 ,, Instant Pet Panel Flap- Med/Tall ,http://www.amazon.com/PetSafe-Medium-Tall-Replacement-Single/dp/B000FETSZ4/ref=sr_1_1?s=pet-supplies&ie=UTF8&qid=1321971469&sr=1-1
amazon.com,4-0113-11,11/1/2011, $36.37 ,, Classic Replacement Flap- Large ,http://www.amazon.com/PetSafe-1-Piece-Classic-Replacement-4-0113-11/dp/B0002IJQYQ/ref=sr_1_1?s=pet-supplies&ie=UTF8&qid=1320074600&sr=1-1
amazon.com,A04026-4-11,11/15/2011, $53.48 ,, Classic Replacement Flap- Extra Large ,http://www.amazon.com/PetSafe-1-Piece-Classic-Replacement-4-0113-11/dp/B0002IJQYQ/ref=sr_1_1?ie=UTF8&qid=1321645427&sr=8-1
amazon.com,AA01-211-11,11/15/2011, $161.18 ,," Deluxe Patio Pet Panel 81""- Small, Satin ",http://www.amazon.com/PetSafe-Deluxe-Panel-Sliding-Doors/dp/B0002I0FAK/ref=sr_1_1?s=pet-supplies&ie=UTF8&qid=1321367812&sr=1-1
amazon.com,AA11-211-11,11/10/2011, $192.95 , fulfilled by Amazon ," Deluxe Patio Pet Panel- Medium, Satin ",http://www.amazon.com/PetSafe-Medium-Deluxe-Panel-Sliding/dp/B000633KIU/ref=sr_1_1?s=pet-supplies&ie=UTF8&qid=1320939254&sr=1-1
amazon.com,AA41-211-11,11/15/2011, $222.13 ,," Deluxe Patio Pet Panel 81""- Large-Tall, Satin ",http://www.amazon.com/PetSafe-Deluxe-Panel-Sliding-Doors/dp/B0002I0FAK/ref=sr_1_1?s=pet-supplies&ie=UTF8&qid=1321367812&sr=1-1
amazon.com,AF00-201-11,12/1/2011, $25.00 , fulfilled by Amazon ," Classic Pet Door- Small, Satin ",http://www.amazon.com/PetSafe-Premium-Classic-Large-Satin/dp/B00061RISU/ref=sr_1_3?ie=UTF8&qid=1322681096&sr=8-3
