sku,price,brand,style,brand style
120-12C-1181,$18.99 ,-,Maggie,- Maggie
80120,$12.99 ,143 Girl,Raisin,143 Girl Raisin
7137,$53.99 ,1803,Blair,1803 Blair
62383,$64.99 ,1803,Tijuana,1803 Tijuana
35-3B-2219,$152.99 ,1883 By Lucchese,N461754,1883 By Lucchese N461754
113-8A-1065,$16.99 ,2 Mia,Festina,2 Mia Festina
19-5B-2200,$124.99 ,5.11 Tactical,"12021 Taclite 6"" Side Zip","5.11 Tactical 12021 Taclite 6"" Side Zip"
15-4A-1965,$124.99 ,5.11 Tactical,"12021 Taclite 6"" Zip","5.11 Tactical 12021 Taclite 6"" Zip"
04-8A-1116,$134.99 ,5.11 Tactical,"12022 Taclite 8"" Boot","5.11 Tactical 12022 Taclite 8"" Boot"
06-4B-2357,$94.99 ,5.11 Tactical,"12025 ATAC 6"" Zip","5.11 Tactical 12025 ATAC 6"" Zip"
20-1B-2182,$84.99 ,5.11 Tactical,"12115 Speed 8""","5.11 Tactical 12115 Speed 8"""
132-5A-1006,$94.99 ,5.11 Tactical,A.T.A.C. 6 Low,5.11 Tactical A.T.A.C. 6 Low
40-1A-1742,$109.99 ,5.11 Tactical,A.T.A.C. 8 Side Zip,5.11 Tactical A.T.A.C. 8 Side Zip
08-4A-2002,$94.99 ,5.11 Tactical,Atac 6,5.11 Tactical Atac 6
130-5C-1019,$104.99 ,5.11 Tactical,"ATAC 6"" Low","5.11 Tactical ATAC 6"" Low"
33-3B-1920,$99.99 ,5.11 Tactical,"ATAC 8"" Sidezip","5.11 Tactical ATAC 8"" Sidezip"
132-7A-1008,$164.99 ,5.11 Tactical,HRT Desert,5.11 Tactical HRT Desert
130-5B-1019,$154.99 ,5.11 Tactical,HRT Urban,5.11 Tactical HRT Urban
131-3B-1016,$74.99 ,5.11 Tactical,"Speed 6""","5.11 Tactical Speed 6"""
131-8A-1002,$89.99 ,5.11 Tactical,Speed 8,5.11 Tactical Speed 8
16-1B-1433,$124.99 ,5.11 Tactical,"Taclite 6"" Coyote Boot","5.11 Tactical Taclite 6"" Coyote Boot"
102-8B-1095,$134.99 ,5.11 Tactical,"Taclite 8"" Boot Coyote","5.11 Tactical Taclite 8"" Boot Coyote"
46-9B-1313,$17.99 ,5th Avenue LX By Easy Street,Constant,5th Avenue LX By Easy Street Constant
03-6B-2749,$116.99 ,7 For All Mankind,Alice,7 For All Mankind Alice
67926,$95.99 ,7 For All Mankind,Blaire,7 For All Mankind Blaire
62794,$81.99 ,7 For All Mankind,Caprice,7 For All Mankind Caprice
60219,$89.99 ,7 For All Mankind,Flora,7 For All Mankind Flora
13-3A-1996,$98.99 ,7 For All Mankind,Gemma,7 For All Mankind Gemma
63718,$91.99 ,7 For All Mankind,Hannah,7 For All Mankind Hannah
67632,$91.99 ,7 For All Mankind,Hermosa,7 For All Mankind Hermosa
47-5A-1252,$79.99 ,7 For All Mankind,Honey,7 For All Mankind Honey
67901,$73.99 ,7 For All Mankind,Junoe,7 For All Mankind Junoe
45-5B-1289,$86.99 ,7 For All Mankind,Neely,7 For All Mankind Neely
10-2C-2071,$77.99 ,7 For All Mankind,Spicy,7 For All Mankind Spicy
68243,$77.99 ,7 For All Mankind,Taffy,7 For All Mankind Taffy
21-5A-1898,$67.99 ,80%20,Bee,80%20 Bee
130-7C-1059,$22.99 ,80%20,Ellorie,80%20 Ellorie
27-6A-1659,$43.99 ,80%20,Flora,80%20 Flora
4890,$104.99 ,80%20,Justine,80%20 Justine
45-10C-1109,$50.99 ,80%20,Sophia,80%20 Sophia
46-2B-1169,$72.99 ,80%20,Sophie,80%20 Sophie
73913,$25.99 ,A Line,6/A0290,A Line 6/A0290
60338,$28.99 ,A Line,6/A0503,A Line 6/A0503
70805,$27.99 ,A Line,6/A0570,A Line 6/A0570
70815,$25.99 ,A Line,6/A0574,A Line 6/A0574
67089,$26.99 ,A Line,Dec-01,A Line 767711
30-5B-1744,$15.99 ,A Line,Little Kid/Big Kid,A Line Little Kid/Big Kid
62260,$78.99 ,A. Marinelli,Asset II,A. Marinelli Asset II
74002,$35.99 ,A. Marinelli,Cling,A. Marinelli Cling
69288,$32.99 ,A. Marinelli,Dame,A. Marinelli Dame
71693,$32.99 ,A. Marinelli,Daniel,A. Marinelli Daniel
130-3C-1061,$35.99 ,A. Marinelli,Elton,A. Marinelli Elton
106-2B-1119,$28.99 ,A. Marinelli,Estella,A. Marinelli Estella
69346,$40.99 ,A. Marinelli,Express,A. Marinelli Express
48-10C-1306,$32.99 ,A. Marinelli,Eye,A. Marinelli Eye
71666,$32.99 ,A. Marinelli,Gatsby,A. Marinelli Gatsby
73935,$34.99 ,A. Marinelli,Helas,A. Marinelli Helas
9564,$32.99 ,A. Marinelli,Herb,A. Marinelli Herb
20-6A-2023,$32.99 ,A. Marinelli,Isabella,A. Marinelli Isabella
20-6A-2022,$40.99 ,A. Marinelli,Jacklin,A. Marinelli Jacklin
62238,$31.99 ,A. Marinelli,Robe,A. Marinelli Robe
73960,$33.99 ,A. Marinelli,RSVP,A. Marinelli RSVP
62594,$31.99 ,A. Marinelli,Terrific,A. Marinelli Terrific
74460,$226.00 ,A. Testoni,F921061,A. Testoni F921061
71184,$267.99 ,A. Testoni,F925011,A. Testoni F925011
05-2B-1923,$24.99 ,A2 By Aerosoles,Mite Two,A2 By Aerosoles Mite Two
68786,$11.99 ,Academie Studio,Fettucine,Academie Studio Fettucine
60289,$45.99 ,Academie Studio,Miami,Academie Studio Miami
51-1C-1087,$26.99 ,Acorn,Biba,Acorn Biba
105-4B-1062,$55.99 ,Acorn,Bodi Mule,Acorn Bodi Mule
8945,$23.99 ,Acorn,Cami Ballet,Acorn Cami Ballet
56-2C-1199,$44.99 ,Acorn,Chinchilla Bootie II,Acorn Chinchilla Bootie II
103-3B-1067,$39.99 ,Acorn,Chinchilla Collar,Acorn Chinchilla Collar
114-1A-1132,$49.99 ,Acorn,Cleo,Acorn Cleo
105-4B-1046,$49.99 ,Acorn,Cloudia,Acorn Cloudia
106-8C-1049,$39.99 ,Acorn,Digby,Acorn Digby
12-5B-2006,$49.99 ,Acorn,Drew Mule,Acorn Drew Mule
102-6A-1054,$79.99 ,Acorn,Earthroamer Mule,Acorn Earthroamer Mule
56-2C-1195,$79.99 ,Acorn,Ewe Collar,Acorn Ewe Collar
106-8C-1050,$35.99 ,Acorn,Fave Gore,Acorn Fave Gore
105-4B-1047,$49.99 ,Acorn,Gala,Acorn Gala
102-6A-1060,$59.99 ,Acorn,Ilsa,Acorn Ilsa
114-1A-1126,$49.99 ,Acorn,Lyla,Acorn Lyla
56-2C-1189,$59.99 ,Acorn,Mikka,Acorn Mikka
107-5A-1105,$34.99 ,Acorn,New Spa Thong,Acorn New Spa Thong
106-6A-1080,$54.99 ,Acorn,Odin,Acorn Odin
56-2C-1204,$79.99 ,Acorn,Oh Ewe II,Acorn Oh Ewe II
