Web Sku,PTS Sku,AKW Sku,Plumb Sku,Merinals,MPN,Description,Price Check
WS196045,,,196045,,3.01835,ALPHA CD25C COMBI BOILER,yes
WS196046,,,196046,,3.018351,ALPHA CD28C COMBI BOILER,yes
WS196047,,,196047,,3.018352,ALPHA CD35C COMBI BOILER,yes
WS196056,,,196056,,3.018493,ALPHA CD25X COMBI BOILER,yes
WS196057,,,196057,,3.018409,ALPHA CD28X COMBI BOILER,yes
WS196055,,,196055,,3.015545,ALPHA CD50 STORAGE COMBI,yes
WS196090,,,196090,,3.01841,ALPHA CD12S SYSTEM BOILER,yes
WS196091,,,196091,,3.018411,ALPHA CD20S SYSTEM BOILER,yes
WS196092,,,196092,,3.018412,ALPHA CD28S SYSTEM BOILER,yes
WS196093,,,196093,,3.019509,ALPHA CD50S SYSTEM BOILER,yes
WS196103,,,196103,,3.01951,ALPHA CD70S SYSTEM BOILER,yes
WS196065,,,196065,,3.016297,ALPHA CD13R REGULAR BOILER,yes
WS196066,,,196066,,3.016298,ALPHA CD18R REGULAR BOILER,yes
WS196067,,,196067,,3.016299,ALPHA CD24R REGULAR BOILER,yes
WS123170,LOGIC24HE,,123170,,204588,IDEAL LOGIC HE 24 COMBI BOILER,yes
WS123172,LOGIC35HE,,123172,,204590,IDEAL LOGIC HE 35 COMBI BOILER,yes
WS123171,LOGIC30HE,,123171,,204589,IDEAL LOGIC HE 30 COMBI BOILER,yes
WS123174,LOGIC+24HE,,123174,,204873,IDEAL LOGIC PLUS HE 24 COMBI BOILER,yes
WS123175,LOGIC+30HE,,123175,,204874,IDEAL LOGIC PLUS HE 30 COMBI BOILER,yes
WS123176,LOGIC+35HE,,123176,,204875,IDEAL LOGIC PLUS HE 35 COMBI BOILER,yes
WS123550,,,123550,,205837,IDEAL LOGIC 12KW REGULAR BOILER,yes
WS123551,LOGIC15HEHO,,123551,,205838,IDEAL LOGIC 15KW REGULAR BOILER,yes
WS123552,,,123552,,205839,IDEAL LOGIC 18KW REGULAR BOILER,yes
WS123553,LOGIC24HEHO,,123553,,205840,IDEAL LOGIC 24KW REGULAR BOILER,yes
WS123554,LOGIC30HEHO,,123554,,205841,IDEAL LOGIC 30KW REGULAR BOILER,yes
WS123570,LOGIC15HES,,123570,,205759,IDEAL LOGIC 15KW SYSTEM BOILER,yes
WS123571,LOGIC18HES,,123571,,206026,IDEAL LOGIC 18KW SYSTEM BOILER,yes
WS123572,LOGIC24HES,,123572,,205760,IDEAL LOGIC 24KW SYSTEM BOILER,yes
WS123573,LOGIC30HES,,123573,,205761,IDEAL LOGIC 30KW SYSTEM BOILER,yes
WS123560,LOGIC+12HEHO,,123560,,205885,IDEAL LOGIC PLUS 12KW REGULAR BOILER,yes
WS123561,LOGIC+15HEHO,,123561,,205886,IDEAL LOGIC PLUS 15KW REGULAR BOILER,yes
WS123562,LOGIC+18HEHO,,123562,,205887,IDEAL LOGIC PLUS 18KW REGULAR BOILER,yes
WS123563,LOGIC+24HEHO,,123563,,205888,IDEAL LOGIC PLUS 24KW REGULAR BOILER,yes
WS123564,LOGIC+30HEHO,,123564,,205889,IDEAL LOGIC PLUS 30KW REGULAR BOILER,yes
WS123580,LOGIC+15HES,,123580,,205910,IDEAL LOGIC PLUS 15KW SYSTEM BOILER,yes
WS123581,LOGIC+18HES,,123581,,206027,IDEAL LOGIC PLUS 18KW SYSTEM BOILER,yes
WS123582,LOGIC+24HES,,123582,,205911,IDEAL LOGIC PLUS 24KW SYSTEM BOILER,yes
WS123583,LOGIC+30HES,,123583,,205912,IDEAL LOGIC PLUS 30KW SYSTEM BOILER,yes
WS123300,,,123300,,201798,IDEAL CLASSIC HE 9FF REGULAR BOILER,yes
WS123301,,,123301,,201799,IDEAL CLASSIC HE 12 REGULAR BOILER,yes
WS123302,,,123302,,201800,IDEAL CLASSIC HE 15 REGULAR BOILER,yes
WS123303,CLAS18HE,,123303,,201801,IDEAL CLASSIC HE 18 REGULAR BOILER,yes
WS123312,,,123312,,201854,IDEAL CLASSIC HE 15 LPG REGULAR BOILER,yes
WS123313,,,123313,,201855,IDEAL CLASSIC HE 18 LPG REGULAR BOILER,yes
WS123320,MEX15HE,,123320,,201728,IDEAL MEXICO HE 15 REGULAR BOILER,yes
WS123321,MEX18HE,,123321,,201727,IDEAL MEXICO HE 18 REGULAR BOILER,yes
WS123322,MEX24HE,,123322,,201510,IDEAL MEXICO HE 24 REGULAR BOILER,yes
WS123323,MEX30HE,,123323,,201725,IDEAL MEXICO HE 30 REGULAR BOILER,yes
WS123159,,,123159,,206326,IDEAL LOGIC CODE HE 33 COMBI BOILER,yes
WS123160,,,123160,,206327,IDEAL LOGIC CODE HE 38 COMBI BOILER,yes
WS100280,,,100280,,7716130141,WORCESTER GREENSTAR 24i JUNIOR COMBI BOILER,yes
WS100281,,,100281,,7716130142,WORCESTER GREENSTAR 28i JUNIOR COMBI BOILER,yes
WS100273,,,100273,,7715330041,WORCESTER HIGHFLOW 440CDi COMBI BOILER,yes
WS100275,,,100275,,7715330040,WORCESTER HIGHFLOW 550CDi COMBI BOILER,yes
WS100300,,,100300,,7716130139,WORCESTER GREENSTAR 25 Si COMBI BOILER,yes
WS100301,,,100301,,7716130140,WORCESTER GREENSTAR 30 Si COMBI BOILER,yes
WS100350,,,100350,,7713331021,WORCESTER GREENSTAR 27CDi COMBI BOILER,yes
WS100352,,,100352,,7713331023,WORCESTER GREENSTAR 30CDi COMBI BOILER,yes
WS100354,,,100354,,7713331017,WORCESTER GREENSTAR 37CDI COMBI BOILER,yes
WS100356,,,100356,,7713331019,WORCESTER GREENSTAR 42CDi COMBI BOILER,yes
WS100290,,,100290,,7716130143,WORCESTER GREENSTAR 12i SYSTEM BOILER,yes
WS100335,WGS15ISYS,,100335,,7716130168,WORCESTER GREENSTAR 15i SYSTEM BOILER,yes
WS100337,WGS18ISYS,,100337,,7716130170,WORCESTER GREENSTAR 18i SYSTEM BOILER,yes
WS100291,,,100291,,7716130144,WORCESTER GREENSTAR 24i SYSTEM BOILER,yes
WS100240,,,100240,,7716130137,WORCESTER GREENSTAR 12 Ri REGULAR BOILER,yes
WS100242,,,100242,,7716130153,WORCESTER GREENSTAR 15Ri REGULAR BOILER,yes
WS100243,,,100243,,7716130155,WORCESTER GREENSTAR 18Ri REGULAR BOILER,yes
WS100241,,,100241,,7716130138,WORCESTER GREENSTAR 24Ri REGULAR BOILER,yes
WS100325,,,100325,,7712331893,WORCESTER GREENSTAR 30CDi SYSTEM BOILER,yes
WS100321,,,100321,,7712331895,WORCESTER GREENSTAR 30CDi REGULAR BOILER,yes
WS100323,,,100323,,7712231636,WORCESTER GREENSTAR 40CDi REGULAR BOILER,yes
WS100360,,,100360,,7715430442,WORCESTER GREENSTAR FS 30CDi REGULAR BOILER,yes
WS100365,WGSFS42CDI,,100365,,7715430441,WORCESTER GREENSTAR FS 42CDi REGULAR BOILER,yes
WS100400,WGSCAM1218,,100400,,7716100105,WORCESTER GREENSTAR CAMRAY KITCHEN 12/18 REGULAR BOILER,yes
WS100401,WGSCAM1825,,100401,,7716100106,WORCESTER GREENSTAR CAMRAY KITCHEN 18/25 REGULAR BOILER,yes
